factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.193168 -2.548082 -2.087997 -3.325989 -3.328659 -1.438384 -1.381464 0.2589369 3.267858 1.811034 3.237827 1.355734 1.518271 1.701509 -2.039837 1.884985 0.8298282 1.699045 3.761676 1.220605 2.016974 2.518721 2.693985 1.544457 2.088522 3.417844 -11915.7 41.69073 129773.8 2.093581 4.264857 4.470596 0.4582102 6.512938 2.591437 47.17557 182553.1 220659.4 6.561021 -79.60537
1.537675 -1.676292 -2.172326 -2.94815 -3.763572 -1.597761 -0.7309687 0.2789643 2.605462 1.528577 1.842648 1.740125 2.863286 1.469522 -0.2906248 1.751871 0.7373534 2.508193 2.955796 -0.1402839 2.196356 2.603163 3.42511 0.9196757 2.671245 0.2603955 12884.58 49.81506 186692.7 0.3059514 4.226828 1.514384 -0.1154779 -4.667866 -3.795152 20.39624 -57815.49 131211.6 3.615879 64.36855
1.325316 -1.443653 -1.300588 -2.943502 -3.237296 -1.395623 -0.7944246 0.1843941 3.905093 1.734621 3.243371 3.615637 2.499803 2.881493 1.037432 2.633642 0.6108007 1.705177 3.135101 -0.5083301 3.903023 2.930096 3.066655 3.69554 2.949029 0.9910677 62513.24 21.29301 -25929.17 1.843181 1.185113 3.050369 0.8325879 -2.414994 -7.08755 20.21458 75379.98 23073.86 11.71027 -81.93748
1.691136 -1.078058 -0.906341 -2.424236 -3.191748 -0.8366582 -0.6097504 0.3569811 2.937901 1.353954 2.922436 2.458121 3.099255 1.89593 1.034928 1.959948 -1.309899 4.5053 3.143122 0.3412968 3.095724 2.854006 2.197565 1.471724 3.374377 2.066112 17898.28 -5.699119 -45295.58 5.020802 2.036113 4.79465 1.111236 7.341818 -1.78441 26.25921 153297.6 58270.98 9.590948 22.43914
1.400976 -2.007398 -2.175837 -3.374254 -4.154775 -1.03872 -0.8222109 0.2176809 3.413615 1.17868 2.771917 3.265894 2.623631 2.798707 1.371166 1.879566 1.751909 5.014988 3.841304 -0.4533924 2.519178 3.33393 2.761857 2.3123 2.790424 0.7487914 61479.41 -41.39714 -46829.24 4.913011 0.1993253 5.167472 -0.6792807 3.15756 -4.274781 12.58956 -7107.693 -95228.19 6.595808 -48.23837
1.343642 -1.844318 -2.582572 -3.120622 -3.762815 -1.743622 -1.272174 -0.002983702 3.296034 2.124894 2.197278 2.723153 2.852776 2.825582 -1.184433 2.215456 0.8070066 2.328019 3.419875 1.80586 3.272337 2.813426 3.626559 3.195859 3.837154 -1.347993 59204.37 10.81405 49408.59 2.666744 0.9551814 1.376716 0.0261041 1.807831 -3.201716 5.863604 49681.91 -92333.91 7.096579 -14.04557
1.080972 -2.112533 -2.083396 -3.380694 -3.910164 -1.602075 -1.096663 -0.3364378 2.886658 1.468042 2.82007 2.433541 0.8637212 2.987614 1.608529 2.299538 -0.1515245 2.936992 3.960354 -0.2996741 3.373119 2.263965 4.029133 2.218817 2.690051 1.043103 56246.56 -44.15397 -8082.144 2.996456 1.185034 4.004147 1.095494 0.3653577 -5.433014 1.592166 -24507.92 129604.2 6.413182 -60.83679
1.304447 -1.872893 -1.756615 -2.448508 -3.026728 -1.533633 -0.3971025 -0.3718559 2.412878 0.5828927 1.518892 0.8242808 0.6984443 0.6823833 -1.554771 1.276356 1.619851 2.509905 1.984402 -1.723141 1.482351 1.300376 2.503082 3.202959 2.078265 1.571572 43458.35 24.69442 -17905.74 1.003097 6.670249 5.267822 -1.075084 4.145648 4.353154 33.75808 79234.53 83991.62 4.215093 -119.508
1.475275 -1.880891 -1.149696 -3.460509 -3.359775 -2.089176 -1.758449 0.1255443 3.218009 1.108344 2.756318 1.762032 2.170045 1.875264 0.1630125 1.152742 0.3719001 2.323162 2.754677 0.9345005 2.191442 0.8319356 2.095502 1.394432 2.43405 0.5410814 -2259.405 35.85167 62520.22 0.6705526 3.472589 1.348328 -0.516744 -5.069258 -8.706608 23.13584 40526.31 -37522.57 2.591135 -97.88014
1.364414 -1.348216 -1.689143 -3.087255 -3.747565 -1.504348 -0.5733977 0.3311789 2.760019 1.31169 1.213497 1.599155 1.556171 1.777903 1.718041 3.119999 -0.8572552 4.50677 2.999889 -0.7930497 2.879518 1.6499 1.481056 1.0468 2.356247 3.073475 65082.59 -29.6046 -119468.2 4.927814 2.53185 3.040573 0.1470717 3.855264 -6.52379 -15.27373 -64664.02 25035.5 6.164425 91.7524
